Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,103362039,13240.830846816332,3455050,403263,2244713,287.5510721363539,93602,12120,
United States of America,Americas,26055512,78716.93,1005204,125444,439830,1328.78,21941,1866,Community transmission
India,South-East Asia,10777284,7809.6,87757,11039,154596,112.03,872,110,Clusters of cases
Brazil,Americas,9229322,43419.96,357929,24591,225099,1058.99,7435,595,Community transmission
Russian Federation,Europe,3901204,26732.58,126532,16474,74684,511.76,3608,526,Clusters of cases
The United Kingdom,Europe,3852627,56751.41,162877,16840,108013,1591.09,7851,1449,Community transmission
France,Europe,3172126,48597.45,142334,22871,76840,1177.2,3127,726,Community transmission
Spain,Europe,2705001,57855.07,44080,0,57806,1236.37,339,0,Community transmission
Italy,Europe,2570608,42516.22,84652,9651,89344,1477.69,2922,499,Clusters of cases
Turkey,Europe,2492977,29558.98,50627,7795,26237,311.09,893,120,Community transmission
Germany,Europe,2237790,26709.06,76511,9705,58956,703.67,4984,975,Community transmission
Colombia,Americas,2104506,41359.8,76760,9622,54272,1066.61,2525,289,Community transmission
Argentina,Americas,1943548,43002.87,68747,16309,48426,1071.47,1392,452,Community transmission
Mexico,Americas,1869708,14501.42,97968,5448,159100,1233.98,8827,564,Community transmission
Poland,Europe,1527016,40347.5,37504,6801,37897,1001.33,1843,421,Community transmission
South Africa,Africa,1458958,24599.4,35380,2649,44946,757.83,3149,547,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1431416,17042.1,45710,6820,58110,691.84,550,72,Community transmission
Ukraine,Europe,1227164,28059.88,26281,3285,23089,527.94,887,165,Community transmission
Peru,Americas,1142716,34657.32,39921,4477,41181,1248.97,1294,155,Community transmission
Indonesia,South-East Asia,1099687,4020.45,87337,10379,30581,111.8,2113,304,Community transmission
Czechia,Europe,1003657,93721.06,47502,9143,16683,1557.85,892,138,Community transmission
Netherlands,Europe,985224,57498.18,28628,3592,14108,823.35,448,83,Community transmission
Canada,Americas,783589,20761.64,30578,4617,20136,533.51,898,104,Community transmission
Chile,Americas,734035,38398.58,27535,3147,18559,970.85,536,22,Community transmission
Romania,Europe,732732,38088.35,17294,2676,18513,962.33,575,111,Community transmission
Portugal,Europe,731861,71774.24,77983,5540,13017,1276.59,2005,260,Clusters of cases
Belgium,Europe,713271,61543.93,11687,0,21173,1826.89,227,0,Community transmission
Israel,Europe,645590,74586.96,37486,0,4806,555.25,319,0,Community transmission
Iraq,Eastern Mediterranean,621755,15457.89,6375,1135,13068,324.89,58,11,Community transmission
Sweden,Europe,576606,57093.86,20353,1559,11815,1169.89,73,5,Community transmission
Pakistan,Eastern Mediterranean,547648,2479.25,11734,1220,11746,53.18,370,63,Community transmission
Bangladesh,South-East Asia,536107,3255.26,3191,525,8149,49.48,94,12,Community transmission
Philippines,Western Pacific,528853,4826.13,12687,1581,10874,99.23,488,67,Community transmission
Switzerland,Europe,524149,60562.9,8435,4,8725,1008.13,141,1,Community transmission
Morocco,Eastern Mediterranean,472273,12795.06,4780,835,8309,225.11,122,22,Clusters of cases
Austria,Europe,413239,45882.83,9316,1318,7749,860.39,287,39,Community transmission
Serbia,Europe,398905,57282.96,11699,1903,4056,582.44,132,18,Community transmission
Japan,Western Pacific,393836,3113.91,22156,2210,5912,46.74,660,118,Clusters of cases
Hungary,Europe,370336,38335.67,8455,1048,12739,1318.69,541,83,Community transmission
Saudi Arabia,Eastern Mediterranean,368639,10588.85,1832,310,6383,183.35,24,4,Sporadic cases
Jordan,Eastern Mediterranean,329194,32264.01,6953,1132,4334,424.77,86,8,Community transmission
Panama,Americas,321103,74419.55,8945,724,5296,1227.41,198,26,Community transmission
United Arab Emirates,Eastern Mediterranean,309649,31308.03,24502,3310,866,87.56,61,7,Community transmission
Lebanon,Eastern Mediterranean,305842,44809.09,20088,2770,3226,472.64,749,81,Community transmission
Nepal,South-East Asia,271289,9310.87,1197,171,2030,69.67,13,1,Clusters of cases
Georgia,Europe,259897,65150.69,4333,688,3221,807.44,113,13,Community transmission
Slovakia,Europe,254826,46674.49,13434,2732,4889,895.48,528,105,Clusters of cases
Ecuador,Americas,251279,14242.38,9133,293,14915,845.38,247,25,Community transmission
Belarus,Europe,249994,26456.29,10512,699,1737,183.82,69,9,Community transmission
Kazakhstan,Europe,238364,12694.66,8176,0,3126,166.48,91,0,Clusters of cases
Croatia,Europe,233637,56911.52,3278,730,5088,1239.38,175,17,Community transmission
Azerbaijan,Europe,230455,22729.16,1097,159,3141,309.79,41,5,Clusters of cases
Malaysia,Western Pacific,222628,6878.45,32194,3455,791,24.44,91,21,Clusters of cases
Bulgaria,Europe,220547,31740.48,4131,967,9178,1320.87,262,36,Clusters of cases
Bolivia (Plurinational State of),Americas,218299,18701.16,15481,1464,10439,894.28,388,60,Community transmission
Dominican Republic,Americas,215920,19904.29,9615,834,2704,249.26,140,16,Community transmission
Tunisia,Eastern Mediterranean,211412,17888.05,10750,1367,6893,583.23,523,91,Community transmission
Denmark,Europe,199357,34418.17,3409,397,2160,372.92,130,15,Community transmission
Ireland,Europe,198424,40184.81,8573,871,3418,692.21,352,101,Community transmission
Costa Rica,Americas,194569,38194.84,3824,289,2634,517.07,76,7,Community transmission
Lithuania,Europe,184208,67666.58,4996,764,2867,1053.16,151,20,Community transmission
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,180018,35287.86,3942,513,2032,398.32,55,9,Community transmission
Slovenia,Europe,168486,81044.26,6767,0,3779,1817.76,121,0,Clusters of cases
Armenia,Europe,167421,56499.25,994,190,3096,1044.8,40,7,Community transmission
Egypt,Eastern Mediterranean,167013,1632.03,3884,521,9407,91.92,340,47,Clusters of cases
Kuwait,Eastern Mediterranean,166654,39023.82,4372,811,959,224.56,2,0,Community transmission
Republic of Moldova,Europe,160725,39842.95,3753,639,3462,858.21,81,16,Community transmission
Guatemala,Americas,160299,8947.47,4840,667,5709,318.66,223,36,Community transmission
Greece,Europe,158716,15227.4,5490,1221,5851,561.35,159,22,Community transmission
Qatar,Eastern Mediterranean,152095,52791.46,2500,375,249,86.43,1,0,Community transmission
Honduras,Americas,148951,15038.56,6967,1108,3614,364.88,152,4,Community transmission
Myanmar,South-East Asia,140664,2585.27,2296,310,3146,57.82,64,8,Clusters of cases
Ethiopia,Africa,138861,1207.87,4292,477,2116,18.41,41,13,Community transmission
Oman,Eastern Mediterranean,134685,26374.56,1278,161,1532,300,8,0,Community transmission
Paraguay,Americas,133781,18756.44,5415,554,2733,383.17,101,14,Community transmission
Nigeria,Africa,133552,647.87,9253,1634,1613,7.82,91,6,Community transmission
Venezuela (Bolivarian Republic of),Americas,127346,4478.35,3234,419,1196,42.06,42,7,Community transmission
Bosnia and Herzegovina,Europe,122461,37326.35,1929,262,4737,1443.85,116,13,Community transmission
Libya,Eastern Mediterranean,120434,17527.13,5135,1032,1896,275.93,107,13,Community transmission
Algeria,Africa,107841,2459.26,1744,263,2898,66.09,27,4,Community transmission
